ZIP,PO_NAME,STATE,ZIP_TYPE,ZCTA_crosswalk
31001,Abbeville,GA,ZIP Code Area,31001
31008,Byron,GA,ZIP Code Area,31008
31007,Byromville,GA,ZIP Code Area,31007
31005,Bonaire,GA,ZIP Code Area,31005
31006,Butler,GA,ZIP Code Area,31006
31013,Clinchfield,GA,Post Office or large volume customer,31036
31010,Cordele,GA,Post Office or large volume customer,31015
31012,Chester,GA,ZIP Code Area,31012
31003,Allentown,GA,Post Office or large volume customer,31003
31017,Danville,GA,ZIP Code Area,31017
31014,Cochran,GA,ZIP Code Area,31014
31015,Cordele,GA,ZIP Code Area,31015
31020,Dry Branch,GA,ZIP Code Area,31020
31023,Eastman,GA,ZIP Code Area,31023
31030,Fort Valley,GA,ZIP Code Area,31030
31025,Elko,GA,ZIP Code Area,31025
31028,Centerville,GA,ZIP Code Area,31028
31039,Howard,GA,Post Office or large volume customer,31039
31036,Hawkinsville,GA,ZIP Code Area,31036
31047,Kathleen,GA,ZIP Code Area,31047
31044,Jeffersonville,GA,ZIP Code Area,31044
31041,Ideal,GA,ZIP Code Area,31041
31051,Lilly,GA,Post Office or large volume customer,31051
31050,Knoxville,GA,ZIP Code Area,31050
31057,Marshallville,GA,ZIP Code Area,31057
31058,Mauk,GA,ZIP Code Area,31058
31063,Montezuma,GA,ZIP Code Area,31063
31069,Perry,GA,ZIP Code Area,31069
31071,Pineview,GA,ZIP Code Area,31071
31076,Reynolds,GA,ZIP Code Area,31076
31068,Oglethorpe,GA,ZIP Code Area,31068
31072,Pitts,GA,ZIP Code Area,31072
31077,Rhine,GA,ZIP Code Area,31077
31070,Pinehurst,GA,ZIP Code Area,31070
31081,Rupert,GA,ZIP Code Area,31081
31088,Warner Robins,GA,ZIP Code Area,31088
31078,Roberta,GA,ZIP Code Area,31078
31079,Rochelle,GA,ZIP Code Area,31079
31092,Vienna,GA,ZIP Code Area,31092
31091,Unadilla,GA,ZIP Code Area,31091
31084,Seville,GA,Post Office or large volume customer,31084
31095,Warner Robins,GA,Post Office or large volume customer,31098
31093,Warner Robins,GA,ZIP Code Area,31093
31098,Warner Robins,GA,ZIP Code Area,31098
