zip,state,enroll
03031,New Hampshire,332
03032,New Hampshire,150
03033,New Hampshire,151
03034,New Hampshire,122
03036,New Hampshire,147
03037,New Hampshire,174
03038,New Hampshire,945
03040,New Hampshire,*
03041,New Hampshire,*
03042,New Hampshire,195
03043,New Hampshire,52
03044,New Hampshire,121
03045,New Hampshire,373
03046,New Hampshire,85
03047,New Hampshire,54
03048,New Hampshire,90
03049,New Hampshire,213
03051,New Hampshire,587
03052,New Hampshire,168
03053,New Hampshire,561
03054,New Hampshire,638
03055,New Hampshire,472
03057,New Hampshire,101
03060,New Hampshire,811
03061,New Hampshire,*
03062,New Hampshire,661
03063,New Hampshire,406
03064,New Hampshire,438
03070,New Hampshire,188
03071,New Hampshire,81
03073,New Hampshire,*
03076,New Hampshire,323
03077,New Hampshire,248
03079,New Hampshire,813
03082,New Hampshire,52
03084,New Hampshire,60
03086,New Hampshire,153
03087,New Hampshire,386
03101,New Hampshire,95
03102,New Hampshire,962
03103,New Hampshire,952
03104,New Hampshire,908
03105,New Hampshire,*
03106,New Hampshire,370
03107,New Hampshire,*
03108,New Hampshire,*
03109,New Hampshire,294
03110,New Hampshire,494
03111,New Hampshire,*
03215,New Hampshire,*
03216,New Hampshire,66
03217,New Hampshire,84
03218,New Hampshire,*
03220,New Hampshire,218
03221,New Hampshire,81
03222,New Hampshire,201
03223,New Hampshire,155
03224,New Hampshire,77
03225,New Hampshire,104
03226,New Hampshire,62
03227,New Hampshire,77
03229,New Hampshire,128
03230,New Hampshire,54
03231,New Hampshire,*
03233,New Hampshire,*
03234,New Hampshire,120
03235,New Hampshire,201
03237,New Hampshire,80
03238,New Hampshire,*
03240,New Hampshire,*
03241,New Hampshire,*
03242,New Hampshire,104
03243,New Hampshire,*
03244,New Hampshire,206
03245,New Hampshire,85
03246,New Hampshire,453
03247,New Hampshire,*
03249,New Hampshire,251
03251,New Hampshire,88
03252,New Hampshire,*
03253,New Hampshire,319
03254,New Hampshire,220
03255,New Hampshire,68
03256,New Hampshire,77
03257,New Hampshire,96
03258,New Hampshire,73
03259,New Hampshire,*
03260,New Hampshire,*
03261,New Hampshire,121
03262,New Hampshire,64
03263,New Hampshire,108
03264,New Hampshire,214
03266,New Hampshire,86
03268,New Hampshire,*
03269,New Hampshire,113
03272,New Hampshire,*
03273,New Hampshire,*
03274,New Hampshire,*
03275,New Hampshire,270
03276,New Hampshire,235
03278,New Hampshire,78
03279,New Hampshire,62
03280,New Hampshire,*
03281,New Hampshire,225
03282,New Hampshire,*
03284,New Hampshire,*
03285,New Hampshire,125
03287,New Hampshire,*
03289,New Hampshire,*
03290,New Hampshire,137
03291,New Hampshire,*
03293,New Hampshire,*
03298,New Hampshire,*
03299,New Hampshire,*
03301,New Hampshire,868
03302,New Hampshire,*
03303,New Hampshire,279
03304,New Hampshire,152
03305,New Hampshire,*
03307,New Hampshire,105
03431,New Hampshire,785
03435,New Hampshire,*
03440,New Hampshire,89
03441,New Hampshire,*
03442,New Hampshire,*
03443,New Hampshire,*
03444,New Hampshire,65
03445,New Hampshire,*
03446,New Hampshire,147
03447,New Hampshire,64
03448,New Hampshire,*
03449,New Hampshire,92
03450,New Hampshire,72
03451,New Hampshire,89
03452,New Hampshire,144
03455,New Hampshire,67
03456,New Hampshire,*
03457,New Hampshire,*
03458,New Hampshire,228
03461,New Hampshire,138
03462,New Hampshire,77
03464,New Hampshire,*
03465,New Hampshire,60
03466,New Hampshire,*
03467,New Hampshire,55
03468,New Hampshire,*
03469,New Hampshire,*
03470,New Hampshire,160
